created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-11 07:28:27,918015423551037440,2017-10-11 07:28:27,salliisallii,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 07:27:07,918015086031142913,2017-10-11 07:27:07,hysterisk65,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 07:23:14,918014109454651393,2017-10-11 07:23:14,Fridenslijor,Absurdistan,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 07:20:14,918013354719006721,2017-10-11 07:20:14,JohanssoBritt,,10,"RT @MadeleineMaddis: Orimligt @SwedishPM skamligt och oanständigt av @socialdemokrat 
#låtdeungastanna #vistårinteut 
https://t.co/kjegHttI…",
2017-10-11 07:07:47,918010223624884224,2017-10-11 07:07:47,Monknr1,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 07:07:06,918010050517585920,2017-10-11 07:07:06,stian_von_a,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 07:02:37,918008923738787840,2017-10-11 07:02:37,BriHed11,Åre kommun,6,RT @KristinaEriks10: @Ygeman Börja med att läsa den här rapporten. Sedan kan vi diskutera. https://t.co/AbTQDde9u5,
2017-10-11 07:02:21,918008855623237632,2017-10-11 07:02:21,TjalleTvrvigg,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 06:58:31,918007891650666496,2017-10-11 06:58:31,MickeK69,"Göteborg (Gothenburg), Sweden",52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 06:38:45,918002915582803968,2017-10-11 06:38:45,Hamnviken,"Kramfors, Sweden",13,RT @berge_stina: #vistårinteut - Björn Kjellman talar om rättsosäkerhet i asylprocessen https://t.co/WEv0bHXP3g via @YouTube,
2017-10-11 06:31:59,918001214817755136,2017-10-11 06:31:59,Hamnviken,"Kramfors, Sweden",6,RT @KristinaEriks10: @Ygeman Börja med att läsa den här rapporten. Sedan kan vi diskutera. https://t.co/AbTQDde9u5,
2017-10-11 06:28:26,918000318415286272,2017-10-11 06:28:26,PrWallin3,"Sollentuna, Absurdistan !",52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 06:26:53,917999929649434625,2017-10-11 06:26:53,KristinaEriks10,,6,@Ygeman Börja med att läsa den här rapporten. Sedan kan vi diskutera. https://t.co/AbTQDde9u5,917997671046176768
2017-10-11 06:22:09,917998736906899456,2017-10-11 06:22:09,nouser9999,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
