from_user;text
ACNilsson;RT @Brandpug: Kvalificerat folk dömer #Västlänken. https://t.co/4Ck1qE0Jwk
sister756;Varning för råttor med #Västlänken Nu ska vi stå ut med eländet i 8 år! #gbgpol  #gbgftw  https://t.co/tyBlaxdmbt
hejafreja2018;Med det stora bygge som #Västlänken innebär, ser jag all anledning att vidta förebyggande åtgärder!
sister756;"Cwejman:#Västlänken är en koloss på lerfötter
Västlänken är ett stort misstag o nu får vi leva med det #gbgpol  https://t.co/WKTSYn4okt"
AndersHgstrm1;"RT @Liljerosso: Alltså inte ""efter sommaren 2018"". #västlänken #kfgbg https://t.co/3GpwImWG2z"
Liljerosso;"Alltså inte ""efter sommaren 2018"". #västlänken #kfgbg https://t.co/3GpwImWG2z"
edward_jobson;RT @Per_K: @MagnusOsterlund @hejmarja Det stämmer inte att Göteborg C är utnyttjad t max. #Västlänken tillför ingen kapacitet. https://t.co/IRrOaf8Hpq
angelaolsson1;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
angelaolsson1;RT @Per_K: Cwejman: Västlänken är en koloss på lerfötter. #västlänken #gbgftw #gbgpol  https://t.co/vbjy0Sw8y1
Per_K;"Farliga luftföroreningar i Göteborg https://t.co/3nIuyGsiRw via @svtnyheter
#västlänken #gbgftw"
AuliCarl;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
HasseJonsson1;"Cwejman: Västlänken är en koloss på lerfötter
- men stoppa nu då #västlänken 
Vakna politiker i #gbg innan #val2018 https://t.co/exoQmMMaF0"
krusaringen;Ngt liknande påkopplat #västlänken vore smakligt. Lite andra förutsättningar än Utrecht kanske...men ändå! https://t.co/h81Fjuvptk
linvitea;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
LenHellstrom;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
julioab65194116;RT @vastlanken: Här kommer det senaste numret av Projektaktuellt #västlänken https://t.co/k1x50QcyRP
Per_K;Cwejman: Västlänken är en koloss på lerfötter. #västlänken #gbgftw #gbgpol  https://t.co/vbjy0Sw8y1
jansylvan;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
stoppa_VL;"""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
jansylvan;RT @Brandpug: Kvalificerat folk dömer #Västlänken. https://t.co/4Ck1qE0Jwk
stoppa_VL;RT @Brandpug: Kvalificerat folk dömer #Västlänken. https://t.co/4Ck1qE0Jwk
BengtHansves;RT @stoppa_VL: @GoteborgsPosten Det korrekta uttrycket är: Svåra år för bilister väntar OM #Västlänken byggs! Att det blir av är inte avgjort!
Per_K;Miljöprövningen för #Västlänken snart över | SVT Nyheter https://t.co/Ge6gX6xEdR
Brandpug;Kvalificerat folk dömer #Västlänken. https://t.co/4Ck1qE0Jwk
Per_K;@hejmarja @mekwestlund @MagnusOsterlund Gör det! Argumenten mot #västlänken tål att synas.
angelaolsson1;RT @Per_K: Svåra år för bilister väntar när (läs: om) #Västlänken byggs. #gbgftw  https://t.co/6Ins18aigG
trewe;"@JohnnyMagnusson @GoteborgsPosten ""I dag går 1 400 bussar i båda riktningarna"" - samma mattegeni som gissade framtida resandefrekvens för tågtunneln till Haga? #Västlänken"
KMaconi;RT @Per_K: Svåra år för bilister väntar när (läs: om) #Västlänken byggs. #gbgftw  https://t.co/6Ins18aigG
;
