created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-18 18:54:42,920724840457306112,2017-10-18 18:54:42,Mattisdottern,,5,RT @juuzza: Killar som driver om #metoo tagen ni är ett praktiskt exempel på varför den ens existerar,
2017-10-18 18:54:25,920724766314680322,2017-10-18 18:54:25,emmaacec,"Stockholm, Sverige",7,RT @ErenYesilgul: Tycker alla bör läsa och förstå #metoo https://t.co/s0MfZ6Skvu,
2017-10-18 18:54:24,920724765035417601,2017-10-18 18:54:24,mannebba,"Eskilstuna, Sverige",420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:54:07,920724690989191168,2017-10-18 18:54:07,tettetherese,,0,Äckliga jävla svin vad jag hatar er män för allt ni utsatt oss för. #metoo,
2017-10-18 18:54:03,920724675294105601,2017-10-18 18:54:03,sahlstrom73,"Stockholm, Sverige",8,RT @AgnetaBlomqvist: Ulf Kristersson borde ta denne #HanifBali i örat - fel minst sagt kalla äldre kvinnor batikhäxor i dessa #meToo tider.…,
2017-10-18 18:53:50,920724619639877632,2017-10-18 18:53:50,oliviamagnusson,"Stockholm, Sverige",24,"RT @konstantarg: #metoo Kvinnor (och andra) behöver inte kurser i självförsvar.

Män behöver kurser i självdisciplin.",
2017-10-18 18:53:43,920724590120374273,2017-10-18 18:53:43,erikdelareguera,"Paris, France",2,RT @blfrnk: Starka och plågsamma vittnesmål: #MeToo – det här är era berättelser https://t.co/ZvCVWedWkr via @svtnyheter,
2017-10-18 18:53:41,920724585128984576,2017-10-18 18:53:41,EbbaHultgren,,2,RT @norakarltun: För tydligen tillhör min egna kropp någon annan. #metoo,
2017-10-18 18:53:38,920724571120193537,2017-10-18 18:53:38,storspiken,,3,RT @05miwe: @Aftonbladet Har ni tappat det fullständigt? Har hela tidningen hamnat i chock pga svenska #MeToo?,
2017-10-18 18:53:37,920724565432655872,2017-10-18 18:53:37,mimmi_louise,,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:53:31,920724542011691008,2017-10-18 18:53:31,AdahlPetter,"Uppsala, Sverige",52,"RT @Anna_Ekstrom: Gå med &amp; engagera er i facket! Se till att facket driver fall, skriver bra avtal &amp; bidrar till ett arbetsliv fritt från k…",
2017-10-18 18:53:29,920724534067716096,2017-10-18 18:53:29,LiEriks,,0,@MiaVest66 @MalouEfterTio Detta med metoo. Fi är i farten helt klart. Och hur fan kan man jämställa en liten klapp… https://t.co/UfU1Y5UVME,920580362824282112
2017-10-18 18:53:29,920724533853777920,2017-10-18 18:53:29,wiljeby,"Kalmar, Sverige",367,"RT @Emmywin: #MeToo 
Skulle kunna skriva över 150 tweets med den här hashtagen men män skulle fortfarande inte förstå problemet.",
2017-10-18 18:53:18,920724487275995139,2017-10-18 18:53:18,Likriktaren,Sverige,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:53:05,920724434125819904,2017-10-18 18:53:05,Petzanders,Slakthusområdet.Stockholm.Swe,1,"RT @TanjaSelfors: Tack Hakelius för att du problematiserar när ingen annan (alternativt väldigt få) gör det. 

https://t.co/QivsucQ7cJ",
2017-10-18 18:53:04,920724426110402566,2017-10-18 18:53:04,sabinajansson,,6,RT @SvD: Folkdomstol eller en reaktion mot ett misslyckat rättsamhälle? @martenschultz reder ut det juridiska runt #metoo https://t.co/E8Fm…,
2017-10-18 18:52:57,920724396632887296,2017-10-18 18:52:57,heartsteered,"Jonkoping, Sweden, Tellus",0,Häng ut dickpicsarna för de behöver skämmas offentligt! Elever: ”Många tjejer får dickpics” https://t.co/9CHUzDVUna #svpol #metoo #dickpics,
